site_id,year,capture_life_stage,bd_present,num_infected,num_samps,adult_abundance,prev,mean_bd,poulin_D
10263,2010,adult,0,0,3,756,0,-1,-1
10263,2012,adult,1,1,3,85,0.333333333333333,6.42495477480603,0
10263,2012,subadult,0,0,3,85,0,-1,-1
10263,2014,subadult,1,2,2,32,1,5.37810813810727,0.190026954177898
10263,2014,adult,1,1,1,32,1,3.94131262536066,0
10263,2016,adult,1,1,2,6,0.5,3.77013947893377,0
10263,2016,subadult,1,18,18,6,1,7.03807174971281,0.558864000969177
10266,2005,"",-1,0,0,0,-1,-1,-1
10266,2006,subadult,1,2,3,0,0.666666666666667,4.68880035099326,0.437826293308021
10267,2005,"",-1,0,0,1,-1,-1,-1
10267,2006,adult,1,1,1,1,1,1.68124123737559,0
10267,2010,adult,0,0,2,2,0,-1,-1
10272,2005,"",-1,0,0,17,-1,-1,-1
10272,2007,"",-1,0,0,0,-1,-1,-1
10274,2005,"",-1,0,0,6,-1,-1,-1
10276,2005,"",-1,0,0,0,-1,-1,-1
10276,2006,subadult,1,13,16,0,0.8125,5.41314975897571,0.571888783360312
10276,2007,subadult,1,4,4,0,1,5.90323732133572,0.148966497784321
10276,2014,adult,1,3,9,4,0.333333333333333,2.81365609771238,0.0650406504065041
10276,2015,adult,1,2,2,1,1,7.20232654568696,0.217218362576728
10276,2016,"",-1,0,0,0,-1,-1,-1
10277,2005,"",-1,0,0,0,-1,-1,-1
10277,2006,"",-1,0,0,0,-1,-1,-1
10277,2007,"",-1,0,0,0,-1,-1,-1
10277,2013,adult,0,0,14,15,0,-1,-1
10277,2014,adult,1,3,9,5,0.333333333333333,1.94062498750347,0.222222222222222
10278,2007,subadult,1,1,1,0,1,5.16268386587789,0
10279,2005,"",-1,0,0,1,-1,-1,-1
